Date,Open,Close,High,Low,Volume
2021-02-08,1.006,1.001,1.012,0.993,8808050
2021-02-09,1.005,1.008,1.014,0.999,6368694
2021-02-10,1.02,1.044,1.045,1.02,8463041
2021-02-18,1.1,1.069,1.109,1.066,13076993
2021-02-19,1.069,1.064,1.069,1.037,6962408
2021-02-22,1.08,1.034,1.084,1.033,7939962
2021-02-23,1.014,1.012,1.026,1.001,7142315
2021-02-24,1.015,0.959,1.019,0.956,13548894
2021-02-25,0.975,0.96,0.978,0.954,8453387
2021-02-26,0.92,0.919,0.938,0.916,9289903
2021-03-01,0.934,0.941,0.944,0.93,6250655
2021-03-02,0.968,0.951,0.975,0.938,9613582
2021-03-03,0.944,0.949,0.953,0.934,5311056
2021-03-04,0.931,0.911,0.935,0.909,8575561
2021-03-05,0.885,0.901,0.909,0.872,9359131
2021-03-08,0.909,0.851,0.912,0.851,10460364
2021-03-09,0.845,0.835,0.868,0.811,12618325
2021-03-10,0.873,0.857,0.876,0.856,10260070
2021-03-11,0.86,0.893,0.899,0.859,12912105
2021-03-12,0.915,0.897,0.921,0.893,9383583
2021-03-15,0.894,0.861,0.895,0.856,9289668
2021-03-16,0.874,0.882,0.888,0.873,6560590
2021-03-17,0.883,0.888,0.899,0.876,6278644
2021-03-18,0.903,0.911,0.914,0.899,6298567
2021-03-19,0.887,0.883,0.9,0.88,7798085
2021-03-22,0.886,0.894,0.905,0.886,5387155
2021-03-23,0.901,0.867,0.902,0.861,9932773
2021-03-24,0.864,0.846,0.878,0.843,8029911
2021-03-25,0.824,0.834,0.839,0.813,10583812
2021-03-26,0.84,0.854,0.863,0.838,8867207
2021-03-29,0.853,0.838,0.857,0.833,8258397
2021-03-30,0.85,0.857,0.862,0.845,6131504
2021-03-31,0.866,0.859,0.874,0.856,6649814
2021-04-01,0.872,0.892,0.894,0.87,7003660
2021-04-02,0.901,0.897,0.904,0.895,2286940
2021-04-06,0.901,0.895,0.904,0.889,1521146
2021-04-07,0.901,0.885,0.903,0.881,5744349
2021-04-08,0.878,0.886,0.892,0.876,4043282
2021-04-09,0.889,0.871,0.889,0.868,2904758
2021-04-12,0.875,0.856,0.879,0.855,3536322
2021-04-13,0.86,0.846,0.862,0.841,4247181
2021-04-14,0.854,0.861,0.865,0.854,3447223
2021-04-15,0.86,0.851,0.86,0.842,3798815
2021-04-16,0.852,0.857,0.862,0.849,3796366
2021-04-19,0.855,0.87,0.876,0.851,4216299
2021-04-20,0.863,0.861,0.868,0.86,3479541
2021-04-21,0.852,0.848,0.853,0.842,4607181
2021-04-22,0.854,0.855,0.858,0.849,3044006
2021-04-23,0.859,0.87,0.876,0.857,4309093
2021-04-26,0.879,0.877,0.889,0.875,4524645
2021-04-27,0.874,0.875,0.879,0.869,3147830
2021-04-28,0.878,0.875,0.88,0.871,2820522
2021-04-29,0.881,0.873,0.882,0.869,2757628
2021-04-30,0.865,0.854,0.866,0.852,3432746
2021-05-06,0.844,0.838,0.848,0.833,5685516
2021-05-07,0.842,0.822,0.844,0.82,4246661
2021-05-10,0.821,0.803,0.824,0.8,8635071
2021-05-11,0.787,0.784,0.787,0.769,8474248
2021-05-12,0.788,0.804,0.805,0.788,6710954
2021-05-13,0.791,0.787,0.795,0.785,5940099
2021-05-14,0.78,0.783,0.784,0.767,9030056
2021-05-17,0.785,0.789,0.796,0.784,8317052
2021-05-18,0.794,0.797,0.799,0.793,4274917
2021-05-19,0.796,0.797,0.801,0.796,2981006
2021-05-20,0.798,0.812,0.814,0.797,5920949
2021-05-21,0.821,0.816,0.826,0.812,6661954
2021-05-24,0.807,0.806,0.816,0.801,6029106
2021-05-25,0.809,0.816,0.82,0.805,8804657
2021-05-26,0.821,0.825,0.829,0.819,10451545
2021-05-27,0.825,0.822,0.826,0.819,6772647
2021-05-28,0.827,0.811,0.828,0.806,6932044
2021-05-31,0.816,0.822,0.824,0.815,6297488
2021-06-01,0.828,0.847,0.85,0.828,10172137
2021-06-02,0.852,0.844,0.856,0.842,6944540
2021-06-03,0.844,0.834,0.85,0.833,4975098
2021-06-04,0.828,0.83,0.838,0.823,6377325
2021-06-07,0.832,0.825,0.832,0.819,5245372
2021-06-08,0.827,0.816,0.829,0.814,6291304
2021-06-09,0.817,0.815,0.821,0.813,4040818
2021-06-10,0.818,0.816,0.823,0.816,4971391
